iter	RMSE
186	0.5269597112
187	0.5269446108
188	0.5269215426
189	0.5269121343
190	0.5269005571
191	0.5268914645
192	0.5268789379
193	0.5268746331
194	0.526867585
195	0.5268565486
196	0.5268377891
197	0.5268269848
198	0.5268172455
199	0.5267936129
200	0.5267769767
201	0.526760511
202	0.5267458743
203	0.5267287708
204	0.526717763
205	0.5267047095
206	0.5266940043
207	0.5266847034
208	0.5266706941
209	0.5266620008
210	0.5266517689
211	0.5266351745
212	0.5266181253
213	0.526604676
214	0.5265871582
215	0.5265738677
216	0.5265568149
217	0.5265383365
218	0.5265262694
219	0.5265198485
220	0.5265180772
221	0.5265064952
222	0.5264913537
223	0.5264810955
224	0.5264668892
225	0.526453968
226	0.526450291
227	0.5264424712
228	0.5264350144
229	0.5264274497
230	0.5264222965
231	0.5264087733
232	0.5263944177
233	0.5263864352
234	0.526371199
235	0.5263626176
236	0.5263527519
237	0.5263425693
238	0.5263357602
239	0.526323563
240	0.5263121087
241	0.5263046539
242	0.5262923131
243	0.5262665356
244	0.526245118
245	0.5262379295
246	0.5262270292
247	0.5262179696
248	0.5262081214
249	0.5261974665
250	0.5261835729
251	0.5261722533
252	0.5261627318
253	0.5261496511
254	0.5261419107
255	0.5261232669
256	0.5261102681
257	0.5260999695
258	0.5260848374
259	0.5260755843
260	0.526064387
261	0.5260531715
262	0.5260403531
263	0.5260346336
264	0.5260171186
265	0.5260039586
266	0.5259897322
267	0.5259757589
268	0.5259603741
269	0.5259500254
270	0.5259396836
271	0.5259251758
272	0.5259061272
273	0.5258906545
274	0.5258793444
275	0.5258652945
276	0.5258557703
277	0.525844411
278	0.5258366757
279	0.5258290475
280	0.5258174351
281	0.5258091157
282	0.5258015386
283	0.5257949793
284	0.5257820179
285	0.5257706829
286	0.5257656153
287	0.5257546108
288	0.52574978
289	0.5257345916
290	0.5257254848
291	0.5257178844
292	0.5257106029
293	0.5256970701
294	0.5256843714
295	0.5256724143
296	0.5256553096
297	0.5256479091
298	0.5256290311
299	0.525616245
300	0.5256070163
301	0.525597668
302	0.5255874297
303	0.5255809314
304	0.5255729591
305	0.5255578963
306	0.5255445857
307	0.5255285117
308	0.5255082886
309	0.5254967425
310	0.5254871213
311	0.5254725174
312	0.5254635253
313	0.5254566363
314	0.5254437878
315	0.5254351741
316	0.5254256437
317	0.5254107564
318	0.525402483
319	0.5253964788
320	0.5253737687
321	0.5253679331
322	0.5253600892
323	0.5253457666
324	0.5253353276
325	0.5253291774
326	0.5253185454
327	0.525306648
328	0.5253031996
329	0.5252888029
330	0.5252802189
331	0.5252641431
332	0.52525628
333	0.5252487883
334	0.5252367594
335	0.5252268302
336	0.5252166963
337	0.5252076034
338	0.5252000258
339	0.5251908994
340	0.5251801276
341	0.5251703543
342	0.5251505918
343	0.5251395148
344	0.5251278534
345	0.5251183673
346	0.5251072647
347	0.5250994333
348	0.5250841425
349	0.5250742519
350	0.5250511931
351	0.5250412339
352	0.5250272384
353	0.5250158098
354	0.5250015865
355	0.5249815608
356	0.5249758142
357	0.5249659711
358	0.5249506865
359	0.5249390552
360	0.5249290246
361	0.5249199295
362	0.5249131175
363	0.5249043611
364	0.5248852952
365	0.5248747247
366	0.5248611393
367	0.5248528296
368	0.5248330165
369	0.5248177675
370	0.5248063288
371	0.5247952266
372	0.5247856941
373	0.5247778374
374	0.5247637594
375	0.5247566699
376	0.5247451713
377	0.5247311197
378	0.524716916
379	0.5247048873
380	0.5246898632
381	0.5246786246
382	0.5246719156
383	0.5246571927
384	0.5246449506
385	0.5246395232
386	0.5246305856
387	0.5246069028
388	0.5246002875
389	0.5245900853
390	0.5245858553
391	0.5245758723
392	0.5245666319
393	0.52455475
394	0.5245437793
395	0.5245321117
396	0.5245229585
397	0.5245076308
398	0.5244929451
399	0.5244813155
400	0.5244749558
401	0.5244713245
402	0.5244615006
403	0.5244501237
404	0.524445305
405	0.5244350267
406	0.5244306982
407	0.5244197797
408	0.5244065839
409	0.5243954529
410	0.5243811443
411	0.5243689159
412	0.5243544377
413	0.5243411368
414	0.5243322883
415	0.524323707
416	0.5243150937
417	0.524306961
418	0.5242938432
419	0.5242783066
420	0.5242738319
421	0.5242591807
422	0.5242480118
423	0.5242356141
424	0.5242289829
425	0.5242132309
426	0.5242044413
427	0.5241955944
428	0.5241826015
429	0.5241702295
430	0.5241630101
431	0.524154872
432	0.5241493454
433	0.524142791
434	0.5241336373
435	0.524123924
436	0.5241134263
437	0.5241045217
438	0.5240910376
439	0.524084154
440	0.5240788667
441	0.5240653515
442	0.5240548017
443	0.5240458841
444	0.5240424028
445	0.5240292136
446	0.5240234776
447	0.5240053245
448	0.5239967033
449	0.523990861
450	0.5239839316
451	0.5239689456
452	0.5239609893
453	0.5239508304
454	0.5239415811
455	0.5239349669
456	0.5239240814
457	0.5239096133
458	0.5238949795
459	0.5238887101
460	0.5238767846
461	0.5238668739
462	0.5238597993
463	0.5238549142
464	0.5238340676
465	0.5238231337
466	0.5238155535
467	0.5238086062
468	0.5237934013
469	0.5237818109
470	0.523774159
471	0.5237624572
472	0.5237498551
473	0.5237250038
474	0.5237175075
475	0.5237098161
476	0.5236985815
477	0.5236885772
478	0.5236813962
479	0.5236700262
480	0.5236618218
481	0.5236495697
482	0.5236362839
483	0.5236224614
484	0.523616588
485	0.523604975
486	0.5235954914
487	0.5235889465
488	0.5235835905
489	0.5235747586
490	0.5235620285
491	0.5235533214
492	0.5235474768
493	0.5235417964
494	0.5235337914
495	0.5235200032
496	0.5235117221
497	0.5235042495
498	0.5234929827
499	0.5234814052
500	0.5234762578
501	0.5234664922
502	0.5234616655
503	0.5234477512
504	0.5234394543
505	0.5234318658
506	0.5234268832
507	0.5234194943
508	0.5234153945
509	0.5234091328
510	0.5234033478
511	0.5233934265
512	0.5233797926
513	0.5233624618
514	0.523348535
515	0.5233412085
516	0.523328357
517	0.523326016
518	0.5233089977
519	0.5232972483
520	0.5232916224
521	0.5232770311
522	0.5232682731
523	0.5232592891
524	0.5232438618
525	0.5232337758
526	0.5232137544
527	0.5231943599
528	0.5231815743
529	0.5231728792
530	0.5231616653
531	0.5231522089
532	0.5231456605
533	0.523126345
534	0.5231087528
535	0.5231040092
536	0.5230958437
537	0.523089846
538	0.5230801748
539	0.5230717991
540	0.5230600844
541	0.5230502819
542	0.5230451094
543	0.5230361484
544	0.5230294693
545	0.5230161639
546	0.5230060139
547	0.5229982243
548	0.52299568
549	0.5229872347
550	0.5229800944
551	0.5229705371
552	0.5229576208
553	0.52294164
554	0.5229323118
555	0.5229286736
556	0.5229149281
557	0.5229081695
558	0.5229009178
559	0.5228872975
560	0.5228834825
561	0.5228682316
562	0.5228496257
563	0.5228453873
564	0.5228379433
565	0.5228318298
566	0.5228204768
567	0.522809948
568	0.522802771
569	0.5227932683
570	0.5227837182
571	0.522774541
572	0.5227642609
573	0.5227501542
574	0.5227421317
575	0.5227280063
576	0.5227138353
577	0.5227056527
578	0.5227024006
579	0.522698938
580	0.5226823542
581	0.5226716036
582	0.5226595303
583	0.5226431119
584	0.5226357079
585	0.5226309236
586	0.5226197657
587	0.5226080725
588	0.522596414
589	0.5225894945
590	0.5225828872
591	0.5225755159
592	0.5225706956
593	0.5225626523
594	0.5225494961
595	0.5225436693
596	0.5225332185
597	0.5225303527
598	0.5225151886
599	0.522499194
600	0.5224918401
601	0.5224853813
602	0.5224771419
603	0.5224692916
604	0.5224593933
605	0.5224503808
606	0.5224370355
607	0.522425396
608	0.522417978
609	0.5224100313
610	0.5224063758
611	0.5223989859
612	0.5223936455
