iter	Passed	Remaining
400	29293	43757
401	29376	43698
402	29455	43635
403	29529	43563
404	29610	43501
405	29708	43465
406	29806	43427
407	29898	43382
408	29990	43336
409	30069	43270
410	30140	43193
411	30207	43111
412	30296	43060
413	30373	42992
414	30472	42955
415	30567	42912
416	30645	42845
417	30714	42764
418	30785	42688
419	30869	42629
420	30943	42556
421	31018	42485
422	31092	42412
423	31172	42347
424	31265	42300
425	31332	42217
426	31401	42138
427	31514	42117
428	31584	42039
429	31659	41966
430	31728	41886
431	31807	41821
432	31876	41740
433	31952	41671
434	32031	41604
435	32110	41536
436	32190	41472
437	32260	41394
438	32327	41311
439	32396	41231
440	32466	41153
441	32551	41094
442	32634	41033
443	32706	40957
444	32782	40886
445	32856	40812
446	32923	40731
447	32994	40654
448	33066	40578
449	33142	40507
450	33209	40425
451	33280	40348
452	33348	40268
453	33423	40196
454	33495	40120
455	33567	40045
456	33630	39958
457	33699	39879
458	33766	39799
459	33838	39723
460	33916	39655
461	33990	39581
462	34065	39509
463	34133	39429
464	34200	39349
465	34277	39279
466	34346	39200
467	34421	39128
468	34492	39051
469	34563	38976
470	34631	38896
471	34716	38834
472	34790	38762
473	34858	38682
474	34939	38617
475	35013	38544
476	35087	38471
477	35163	38400
478	35234	38324
479	35312	38255
480	35381	38177
481	35451	38098
482	35522	38022
483	35589	37942
484	35655	37860
485	35738	37797
486	35821	37734
487	35901	37667
488	35966	37584
489	36041	37512
490	36109	37433
491	36174	37351
492	36253	37283
493	36328	37210
494	36391	37126
495	36459	37047
496	36534	36975
497	36618	36912
498	36691	36838
499	36765	36765
500	36832	36685
501	36905	36611
502	36981	36540
503	37061	36472
504	37129	36394
505	37204	36321
506	37278	36249
507	37347	36171
508	37417	36094
509	37488	36018
510	37564	35946
511	37654	35889
512	37728	35816
513	37812	35752
514	37884	35678
515	37962	35608
516	38052	35549
517	38120	35471
518	38200	35403
519	38269	35326
520	38346	35255
521	38430	35191
522	38502	35116
523	38582	35048
524	38653	34972
525	38726	34898
526	38799	34823
527	38877	34754
528	38955	34683
529	39030	34611
530	39104	34538
531	39178	34465
532	39250	34389
533	39321	34314
534	39401	34246
535	39471	34169
536	39537	34089
537	39608	34013
538	39682	33939
539	39757	33867
540	39824	33788
541	39897	33713
542	39968	33638
543	40046	33568
544	40127	33500
545	40202	33428
546	40267	33347
547	40359	33289
548	40429	33212
549	40507	33142
550	40579	33067
551	40654	32994
552	40734	32926
553	40810	32854
554	40888	32784
555	40970	32717
556	41046	32645
557	41130	32579
558	41198	32501
559	41268	32425
560	41350	32358
561	41423	32284
562	41490	32204
563	41563	32130
564	41637	32057
565	41713	31985
566	41798	31920
567	41869	31844
568	41944	31771
569	42017	31697
570	42090	31623
571	42157	31544
572	42227	31467
573	42305	31397
574	42386	31328
575	42456	31252
576	42530	31179
577	42606	31107
578	42674	31029
579	42748	30955
580	42816	30877
581	42886	30801
582	42954	30723
583	43021	30645
584	43096	30572
585	43164	30495
586	43243	30425
587	43318	30352
588	43394	30280
589	43462	30202
590	43533	30127
591	43605	30052
592	43672	29974
593	43756	29907
594	43832	29835
595	43904	29761
596	43983	29690
597	44051	29613
598	44133	29544
599	44213	29475
600	44299	29410
601	44373	29336
602	44451	29265
603	44521	29189
604	44599	29118
605	44677	29047
606	44760	28980
607	44841	28910
608	44918	28839
609	44999	28770
610	45069	28693
611	45144	28621
612	45225	28551
613	45301	28479
614	45377	28407
615	45450	28332
616	45525	28260
617	45598	28185
618	45670	28110
