iter	Logloss
0	0.666694249
1	0.6460436794
2	0.6288438113
3	0.6152619879
4	0.6041147972
5	0.5937610879
6	0.5861115069
7	0.5797437009
8	0.5748352893
9	0.5709160292
10	0.5668809414
11	0.5639329471
12	0.5614791776
13	0.5594443794
14	0.5574435162
15	0.5558535327
16	0.5545575577
17	0.5535489216
18	0.5526844521
19	0.5516420153
20	0.550823905
21	0.5500286967
22	0.5494530916
23	0.5490090642
24	0.5486448182
25	0.5482615574
26	0.5478797063
27	0.5474992404
28	0.5471531182
29	0.546880431
30	0.5465868984
31	0.546364543
32	0.5461352005
33	0.5459439667
34	0.5456967933
35	0.5455373403
36	0.5453141488
37	0.5451738205
38	0.5450847453
39	0.544983856
40	0.5448978075
41	0.5448045523
42	0.5446205986
43	0.5445281183
44	0.5444448647
45	0.5443472829
46	0.5442477728
47	0.5441460902
48	0.5440646978
49	0.5439458678
50	0.5438603869
51	0.5437856826
52	0.543718655
53	0.5436570218
54	0.5435888591
55	0.5435148017
56	0.5434393102
57	0.5433592725
58	0.5432966385
59	0.5432335225
60	0.543167398
61	0.5430645682
62	0.5429637827
63	0.5429013807
64	0.5428485897
65	0.5428064595
66	0.5427684788
67	0.5427295034
68	0.5426679679
69	0.5425923482
70	0.5425383917
71	0.5424780339
72	0.5424245107
73	0.5423824049
74	0.5423246833
75	0.5422531644
76	0.5422197543
77	0.542131509
78	0.5420784251
79	0.5420282155
80	0.5419693161
81	0.5419148104
82	0.541865992
83	0.5417984884
84	0.5417532216
85	0.5416927418
86	0.5416451134
87	0.5415952515
88	0.5415369685
89	0.5414904507
90	0.5414362684
91	0.5413708274
92	0.5413385157
93	0.541254597
94	0.5411924756
95	0.5411481485
96	0.5411117056
97	0.5410594761
98	0.5410112619
99	0.5409673619
100	0.540917433
101	0.5408765171
102	0.5408324402
103	0.5407891932
104	0.5407302695
105	0.5406717363
106	0.540616663
107	0.5405606257
108	0.540512027
109	0.540475517
110	0.5404148418
111	0.5403468562
112	0.5402954809
113	0.5402413719
114	0.540212447
115	0.5401703412
116	0.5401174648
117	0.5400786237
118	0.540010754
119	0.53995194
120	0.5398917531
121	0.5398405609
122	0.5397909127
123	0.5397521814
124	0.5397001654
125	0.5396449946
126	0.5395913554
127	0.5395209898
128	0.5394842357
129	0.5394110753
130	0.5393658146
131	0.5393047794
132	0.5392530381
133	0.5391889762
134	0.5391224123
135	0.5390699326
136	0.5390205345
137	0.5389769763
138	0.5389033827
139	0.5388681419
140	0.5388177552
141	0.5387609673
142	0.5387024951
143	0.538644444
144	0.5386040956
145	0.5385428835
146	0.5384989713
147	0.5384404015
148	0.5383755524
149	0.5383382674
150	0.5382799905
151	0.5382119926
152	0.5381513602
153	0.5380738305
154	0.5380193737
155	0.5379684866
156	0.537903906
157	0.5378487657
158	0.5377757761
159	0.537725658
160	0.5376452236
161	0.5375806797
162	0.5375214874
163	0.5374560342
164	0.5373844176
165	0.5373084258
166	0.5372678882
167	0.5371918292
168	0.5371272425
169	0.5370636017
170	0.5369928273
171	0.536934587
172	0.5368804291
173	0.5368025638
174	0.5367564182
175	0.536701699
176	0.5366425738
177	0.5365736423
178	0.5365051013
179	0.5364451036
180	0.5363924285
181	0.5363460084
182	0.5362957926
183	0.5362240967
184	0.5361670891
185	0.5361060967
186	0.5360544163
187	0.5360008443
188	0.5359362332
189	0.5359013769
190	0.5358461877
191	0.535775218
192	0.5357134811
193	0.5356596771
194	0.5355995695
195	0.5355335061
196	0.535473551
197	0.5354105387
198	0.5353401427
199	0.5352874677
200	0.5352423351
201	0.5351837652
202	0.5351377356
203	0.5350881545
204	0.5350490205
205	0.5349894133
206	0.5349444027
207	0.53489055
208	0.5348405783
209	0.5347838025
210	0.5347171471
211	0.5346547634
212	0.5345913239
213	0.5345264443
214	0.5344929854
215	0.5344424401
216	0.5343895393
217	0.5343403365
218	0.5342786972
219	0.5342236118
220	0.5341637422
221	0.5341018588
222	0.5340631886
223	0.5340180499
224	0.5339519498
225	0.5338961322
226	0.5338492299
227	0.5337967929
228	0.5337458692
229	0.5336944025
230	0.5336264778
231	0.5335631604
232	0.5335046821
233	0.5334432015
234	0.5333782975
235	0.5333156147
236	0.5332706896
237	0.5332247698
238	0.5331652114
239	0.5331273467
240	0.5330781317
241	0.5330331212
242	0.5329824965
243	0.5329433076
244	0.5328951055
245	0.5328433642
246	0.5327846296
247	0.532748443
248	0.5326967382
249	0.5326372958
250	0.5325697373
251	0.5325197168
252	0.532461269
253	0.532401021
254	0.5323330353
255	0.5322701329
256	0.5322089879
257	0.5321466102
258	0.5321012458
259	0.5320422549
260	0.5320011071
261	0.5319648717
262	0.531904703
263	0.5318583744
264	0.5317963202
265	0.5317453355
266	0.5316898229
267	0.5316474547
268	0.5315961588
